Country Name,Country Code,Land Area(Sqkm),Year,ForestArea,ForestArea_pct,ForestArea_per_1000sqkm
Indonesia,IDN,1877519.0,2002,1009558.4,53.770875288079644,537.7087528807964
Cambodia,KHM,176520.0,2002,107426.46,60.85795377294359,608.5795377294357
Laos,LAO,230800.0,2002,173281.0,75.07842287694973,750.7842287694974
Myanmar,MMR,652670.0,2002,341826.88,52.37361606937656,523.7361606937657
Malaysia,MYS,328550.0,2002,195426.1,59.48138791660325,594.8138791660326
Philippines,PHL,298170.0,2002,72153.52,24.19878592749103,241.98785927491028
Singapore,SGP,733.2,2002,171.588,23.402618657937804,234.02618657937805
Thailand,THA,510890.0,2002,192130.0,37.60692125506469,376.0692125506469
Vietnam,VNM,313429.0,2002,121048.92,38.62084235983269,386.20842359832693
Brunei Darussalam,BRN,5270.0,2003,3919.0,74.36432637571157,743.6432637571158
Indonesia,IDN,1877519.0,2003,1007937.6,53.68454859844295,536.8454859844294
Cambodia,KHM,176520.0,2003,107234.69,60.749314525266264,607.4931452526625
Laos,LAO,230800.0,2003,172796.5,74.86850086655113,748.6850086655112
Myanmar,MMR,652670.0,2003,338399.77,51.8485252884306,518.4852528843061
Malaysia,MYS,328550.0,2003,194682.4,59.25502967584843,592.5502967584843
Philippines,PHL,298170.0,2003,71683.98,24.041312003219637,240.41312003219636
Singapore,SGP,733.2,2003,172.315,23.50177304964539,235.01773049645388
Thailand,THA,510890.0,2003,193205.0,37.817338370294976,378.17338370294976
Vietnam,VNM,313429.0,2003,122652.88,39.13258824167515,391.32588241675154
Brunei Darussalam,BRN,5270.0,2004,3902.0,74.04174573055028,740.4174573055029
Indonesia,IDN,1877519.0,2004,1006316.8,53.59822190880625,535.9822190880625
Cambodia,KHM,176520.0,2004,107042.92,60.64067527758894,606.4067527758893
Laos,LAO,230800.0,2004,172312.0,74.65857885615252,746.5857885615251
Myanmar,MMR,652670.0,2004,334972.66,51.323434507484635,513.2343450748464
Malaysia,MYS,328550.0,2004,193938.7,59.02867143509359,590.286714350936
Philippines,PHL,298170.0,2004,71214.44,23.88383807894825,238.8383807894825
Singapore,SGP,733.2,2004,173.042,23.600927441352972,236.0092744135297
Thailand,THA,510890.0,2004,194280.0,38.02775548552526,380.2775548552526
Vietnam,VNM,313429.0,2004,124256.84,39.6443341235176,396.4433412351761
Brunei Darussalam,BRN,5270.0,2005,3885.0,73.719165085389,737.19165085389
Indonesia,IDN,1877519.0,2005,1004696.0,53.51189521916956,535.1189521916955
